openTime,open,close
2023-09-14 16:00:00,26680.0,26510.3
2023-09-15 00:00:00,26510.3,26554.4
2023-09-15 08:00:00,26554.4,26311.1
2023-09-15 16:00:00,26311.1,26591.1
2023-09-16 00:00:00,26591.1,26486.0
2023-09-16 08:00:00,26486.0,26493.6
2023-09-16 16:00:00,26493.6,26546.9
2023-09-17 00:00:00,26547.0,26482.6
2023-09-17 08:00:00,26482.6,26537.0
2023-09-17 16:00:00,26536.9,26514.2
2023-09-18 00:00:00,26514.2,26701.7
2023-09-18 08:00:00,26701.8,27258.8
2023-09-18 16:00:00,27258.8,26749.9
2023-09-19 00:00:00,26749.9,26836.1
2023-09-19 08:00:00,26836.0,27413.4
2023-09-19 16:00:00,27413.3,27196.0
2023-09-20 00:00:00,27195.9,27089.5
2023-09-20 08:00:00,27089.5,27168.7
2023-09-20 16:00:00,27168.7,27107.7
2023-09-21 00:00:00,27107.7,26978.4
2023-09-21 08:00:00,26978.4,26567.7
2023-09-21 16:00:00,26567.6,26552.6
2023-09-22 00:00:00,26552.6,26660.9
2023-09-22 08:00:00,26660.9,26619.9
2023-09-22 16:00:00,26619.9,26566.7
2023-09-23 00:00:00,26566.7,26572.0
2023-09-23 08:00:00,26571.9,26567.5
2023-09-23 16:00:00,26567.4,26563.1
2023-09-24 00:00:00,26563.0,26552.4
2023-09-24 08:00:00,26552.4,26566.0
2023-09-24 16:00:00,26566.0,26232.4
2023-09-25 00:00:00,26232.4,26176.8
2023-09-25 08:00:00,26176.7,26230.9
2023-09-25 16:00:00,26231.0,26290.5
2023-09-26 00:00:00,26290.5,26256.3
2023-09-26 08:00:00,26256.3,26114.8
2023-09-26 16:00:00,26114.8,26208.8
2023-09-27 00:00:00,26208.7,26233.4
2023-09-27 08:00:00,26233.4,26293.4
2023-09-27 16:00:00,26293.4,26359.6
2023-09-28 00:00:00,26359.6,26445.7
2023-09-28 08:00:00,26445.7,27012.3
2023-09-28 16:00:00,27012.3,27011.8
2023-09-29 00:00:00,27011.7,27168.0
2023-09-29 08:00:00,27167.9,26874.8
2023-09-29 16:00:00,26874.9,26890.9
2023-09-30 00:00:00,26890.9,26915.9
2023-09-30 08:00:00,26915.9,26986.2
2023-09-30 16:00:00,26986.2,26950.9
2023-10-01 00:00:00,26951.0,27092.1
2023-10-01 08:00:00,27092.1,27135.8
2023-10-01 16:00:00,27135.8,27981.4
2023-10-02 00:00:00,27981.4,28299.1
2023-10-02 08:00:00,28299.2,28015.0
2023-10-02 16:00:00,28015.0,27477.6
2023-10-03 00:00:00,27477.7,27528.1
2023-10-03 08:00:00,27528.0,27332.0
2023-10-03 16:00:00,27332.1,27412.0
2023-10-04 00:00:00,27412.0,27442.0
2023-10-04 08:00:00,27442.0,27388.3
2023-10-04 16:00:00,27388.3,27759.8
2023-10-05 00:00:00,27759.7,27595.3
2023-10-05 08:00:00,27595.4,27540.0
2023-10-05 16:00:00,27540.0,27398.4
2023-10-06 00:00:00,27398.3,27626.8
2023-10-06 08:00:00,27626.8,27926.5
2023-10-06 16:00:00,27926.6,27916.3
2023-10-07 00:00:00,27916.3,27878.2
2023-10-07 08:00:00,27878.1,27926.4
2023-10-07 16:00:00,27926.5,27943.0
2023-10-08 00:00:00,27943.0,27892.4
2023-10-08 08:00:00,27892.4,27883.5
2023-10-08 16:00:00,27883.5,27901.2
2023-10-09 00:00:00,27901.2,27804.6
2023-10-09 08:00:00,27804.6,27433.0
2023-10-09 16:00:00,27433.1,27578.3
2023-10-10 00:00:00,27578.4,27634.9
2023-10-10 08:00:00,27634.9,27395.5
2023-10-10 16:00:00,27395.6,27381.2
2023-10-11 00:00:00,27381.3,27012.8
2023-10-11 08:00:00,27012.7,26769.1
2023-10-11 16:00:00,26769.2,26864.5
2023-10-12 00:00:00,26864.5,26799.4
2023-10-12 08:00:00,26799.3,26665.4
2023-10-12 16:00:00,26665.4,26744.0
2023-10-13 00:00:00,26744.0,26857.8
2023-10-13 08:00:00,26857.9,26693.0
2023-10-13 16:00:00,26692.9,26849.8
2023-10-14 00:00:00,26849.7,26860.5
2023-10-14 08:00:00,26860.4,26927.9
2023-10-14 16:00:00,26927.9,26836.3
2023-10-15 00:00:00,26836.4,26872.7
2023-10-15 08:00:00,26872.7,26885.6
